#key = (id, data) ｜ value = (R, G, B)
concrete_rgb = {
    (668, 1): (255, 205, 210),
    (667, 1): (248, 187, 208),
    (667, 2): (225, 190, 231),
    (667, 3): (209, 196, 233),
    (667, 4): (197, 202, 233),
    (667, 5): (187, 222, 251),
    (667, 6): (179, 229, 252),
    (667, 7): (178, 235, 242),
    (667, 8): (178, 223, 219),
    (667, 9): (200, 230, 201),
    (667, 10): (220, 237, 200),
    (667, 11): (240, 244, 195),
    (667, 12): (255, 249, 196),
    (667, 13): (255, 236, 179),
    (667, 14): (255, 224, 178),
    (667, 15): (255, 204, 188),
    (669, 3): (0, 0, 0),
    (680, 9): (239, 154, 154),
    (680, 8): (244, 143, 177),
    (668, 4): (206, 147, 216),
    (1966, 0): (179, 157, 219),
    (668, 6): (159, 168, 218),
    (670, 0): (144, 202, 249),
    (668, 8): (129, 212, 250),
    (668, 9): (128, 222, 234),
    (668, 10): (128, 203, 196),
    (668, 11): (165, 214, 167),
    (668, 12): (197, 225, 165),
    (668, 13): (230, 238, 156),
    (668, 14): (255, 245, 157),
    (668, 15): (255, 224, 130),
    (1965, 0): (255, 204, 128),
    (669, 1): (255, 171, 145),
    (669, 2): (215, 204, 200),
    (667, 0): (255, 255, 255),
    (679, 7): (229, 115, 115),
    (679, 6): (240, 98, 146),
    (669, 6): (186, 104, 200),
    (669, 7): (149, 117, 205),
    (669, 8): (121, 134, 203),
    (669, 9): (100, 181, 246),
    (669, 10): (79, 195, 247),
    (669, 11): (77, 208, 225),
    (669, 12): (77, 182, 172),
    (669, 13): (129, 199, 132),
    (669, 14): (174, 213, 129),
    (669, 15): (220, 231, 117),
    (1964, 0): (255, 241, 118),
    (670, 1): (255, 213, 79),
    (670, 2): (255, 183, 77),
    (670, 3): (255, 138, 101),
    (670, 4): (188, 170, 164),
    (670, 5): (238, 238, 238),
    (678, 5): (239, 83, 80),
    (678, 4): (236, 64, 122),
    (670, 8): (171, 71, 188),
    (670, 9): (126, 87, 194),
    (670, 10): (92, 107, 192),
    (670, 11): (66, 165, 245),
    (670, 12): (41, 182, 246),
    (670, 13): (38, 198, 218),
    (670, 14): (38, 166, 154),
    (670, 15): (102, 187, 106),
    (680, 3): (156, 204, 101),
    (671, 1): (212, 225, 87),
    (671, 2): (255, 238, 88),
    (671, 3): (255, 202, 40),
    (671, 4): (255, 167, 38),
    (671, 5): (255, 112, 67),
    (671, 6): (161, 136, 127),
    (671, 7): (224, 224, 224),
    (677, 3): (244, 67, 54),
    (677, 2): (233, 30, 99),
    (669, 0): (156, 39, 176),
    (671, 11): (103, 58, 183),
    (671, 12): (63, 81, 181),
    (671, 13): (33, 150, 243),
    (671, 14): (3, 169, 244),
    (671, 15): (0, 188, 212),
    (672, 3): (0, 150, 136),
    (672, 1): (76, 175, 80),
    (672, 2): (139, 195, 74),
    (672, 0): (205, 220, 57),
    (672, 4): (255, 235, 59),
    (672, 5): (255, 193, 7),
    (672, 6): (255, 152, 0),
    (672, 7): (255, 87, 34),
    (672, 8): (141, 110, 99),
    (675, 0): (189, 189, 189),
    (676, 1): (229, 57, 53),
    (677, 10): (216, 27, 96),
    (672, 12): (142, 36, 170),
    (672, 13): (94, 53, 177),
    (672, 14): (57, 73, 171),
    (678, 0): (30, 136, 229),
    (669, 5): (3, 155, 229),
    (673, 1): (0, 172, 193),
    (673, 2): (0, 137, 123),
    (673, 3): (67, 160, 71),
    (673, 4): (124, 179, 66),
    (673, 5): (192, 202, 51),
    (673, 6): (253, 216, 53),
    (673, 7): (255, 179, 0),
    (673, 8): (251, 140, 0),
    (673, 9): (244, 81, 30),
    (1969, 0): (121, 85, 72),
    (673, 11): (158, 158, 158),
    (674, 15): (211, 47, 47),
    (681, 0): (194, 24, 91),
    (673, 14): (123, 31, 162),
    (673, 15): (81, 45, 168),
    (675, 15): (48, 63, 159),
    (674, 1): (25, 118, 210),
    (674, 2): (2, 136, 209),
    (674, 3): (0, 151, 167),
    (674, 4): (0, 121, 107),
    (674, 5): (56, 142, 60),
    (674, 6): (104, 159, 56),
    (674, 7): (175, 180, 43),
    (674, 8): (251, 192, 45),
    (674, 9): (255, 160, 0),
    (674, 10): (245, 124, 0),
    (674, 11): (230, 74, 25),
    (674, 12): (109, 76, 65),
    (674, 13): (117, 117, 117),
    (673, 13): (198, 40, 40),
    (673, 12): (173, 20, 87),
    (677, 0): (106, 27, 154),
    (675, 1): (69, 39, 160),
    (675, 2): (40, 53, 147),
    (675, 3): (21, 101, 192),
    (675, 4): (2, 119, 189),
    (675, 5): (0, 131, 143),
    (675, 6): (0, 105, 92),
    (680, 0): (46, 125, 50),
    (675, 8): (85, 139, 47),
    (675, 9): (158, 157, 36),
    (675, 10): (249, 168, 37),
    (675, 11): (255, 143, 0),
    (668, 0): (239, 108, 0),
    (675, 13): (216, 67, 21),
    (679, 0): (93, 64, 55),
    (674, 0): (97, 97, 97),
    (672, 11): (183, 28, 28),
    (672, 10): (136, 14, 79),
    (1970, 0): (74, 20, 140),
    (1962, 0): (49, 27, 146),
    (1968, 0): (26, 35, 126),
    (676, 5): (13, 71, 161),
    (676, 6): (1, 87, 155),
    (676, 7): (0, 96, 100),
    (676, 8): (0, 77, 64),
    (1971, 0): (27, 94, 32),
    (676, 10): (51, 105, 30),
    (1967, 0): (130, 119, 23),
    (676, 12): (245, 127, 23),
    (676, 13): (255, 111, 0),
    (676, 14): (230, 81, 0),
    (676, 15): (191, 54, 12),
    (672, 9): (78, 52, 46),
    (677, 1): (66, 66, 66),
    (671, 9): (213, 0, 0),
    (671, 8): (197, 17, 98),
    (677, 4): (170, 0, 255),
    (677, 5): (98, 0, 234),
    (677, 6): (48, 79, 254),
    (677, 7): (41, 98, 255),
    (677, 8): (0, 145, 234),
    (677, 9): (0, 184, 212),
    (676, 0): (0, 191, 165),
    (677, 11): (0, 200, 83),
    (677, 12): (100, 221, 23),
    (1963, 0): (174, 234, 0),
    (677, 14): (255, 214, 0),
    (677, 15): (255, 171, 0),
    (672, 15): (255, 109, 0),
    (678, 1): (221, 44, 0),
    (678, 2): (62, 39, 35),
    (682, 0): (33, 33, 33),
    (670, 7): (255, 23, 68),
    (670, 6): (245, 0, 87),
    (678, 6): (213, 0, 249),
    (678, 7): (101, 31, 255),
    (678, 8): (61, 90, 254),
    (678, 9): (41, 121, 255),
    (678, 10): (0, 176, 255),
    (678, 11): (0, 229, 255),
    (678, 12): (29, 233, 182),
    (678, 13): (0, 230, 118),
    (678, 14): (118, 255, 3),
    (678, 15): (198, 255, 0),
    (675, 14): (255, 234, 0),
    (679, 1): (255, 196, 0),
    (679, 2): (255, 145, 0),
    (1960, 0): (255, 61, 0),
    (679, 4): (236, 239, 241),
    (679, 5): (96, 125, 139),
    (673, 0): (255, 82, 82),
    (669, 4): (255, 64, 129),
    (679, 8): (224, 64, 251),
    (679, 9): (124, 77, 255),
    (679, 10): (83, 109, 254),
    (679, 11): (68, 138, 255),
    (679, 12): (64, 196, 255),
    (679, 13): (24, 255, 255),
    (679, 14): (100, 255, 218),
    (679, 15): (105, 240, 174),
    (675, 7): (178, 255, 89),
    (680, 1): (238, 255, 65),
    (680, 2): (255, 255, 0),
    (671, 0): (255, 215, 64),
    (1961, 0): (255, 171, 64),
    (680, 5): (255, 110, 64),
    (680, 6): (207, 216, 220),
    (680, 7): (84, 110, 122),
    (668, 3): (255, 138, 128),
    (668, 2): (255, 128, 171),
    (680, 10): (234, 128, 252),
    (680, 11): (179, 136, 255),
    (680, 12): (140, 158, 255),
    (680, 13): (130, 177, 255),
    (680, 14): (128, 216, 255),
    (680, 15): (132, 255, 255),
    (674, 14): (167, 255, 235),
    (681, 1): (185, 246, 202),
    (681, 2): (204, 255, 144),
    (681, 3): (244, 255, 129),
    (681, 4): (255, 255, 141),
    (681, 5): (255, 229, 127),
    (681, 6): (255, 209, 128),
    (681, 7): (255, 158, 128),
    (681, 8): (144, 164, 174),
    (681, 9): (55, 71, 79),
    (667, 1): (252, 224, 227),
    (668, 1): (250, 216, 227),
    (681, 12): (239, 213, 243),
    (681, 13): (232, 224, 247),
    (681, 14): (223, 226, 245),
    (681, 15): (214, 234, 251),
    (675, 12): (217, 243, 255),
    (682, 1): (209, 245, 249),
    (682, 2): (209, 240, 237),
    (682, 3): (221, 242, 222),
    (682, 4): (237, 249, 223),
    (682, 5): (248, 251, 219),
    (682, 6): (255, 252, 221),
    (682, 7): (255, 244, 213),
    (682, 8): (255, 239, 215),
    (682, 9): (255, 227, 224),
    (682, 10): (120, 144, 156),
    (682, 11): (38, 50, 56),
}
